variable,source,line,time,iter,latency,dataSource,cpu,node,index,map3D,xidx,yidx,zidx
m_x,LULESH_OMP.cc,2035,cd9e8d77a2e84,11,255,1,7,1,8094,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8d7a6868f,11,52,68,20,0,23654,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8d7ab5cfc,11,22,3,2,0,2981,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8d7c0bbec,11,21,67,8,0,10741,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,cd9e8d80fb0a7,11,23,3,10,0,10974,1,30,22,10
m_elemMass,LULESH_OMP.cc,2387,cd9e8d8288dd4,11,21,3,30,0,30778,1,26,1,30
m_delv_zeta,LULESH_OMP.cc,2353,cd9e8d82ba039,11,22,1,30,0,31836,1,28,2,31
m_delv_zeta,LULESH_OMP.cc,2353,cd9e8d82bfd34,11,21,67,2,0,3164,1,28,2,3
m_elemBC,LULESH_OMP.cc,2281,cd9e8d83950c1,11,21,1,28,0,29004,1,12,10,28
m_lzetap,LULESH_OMP.cc,2353,cd9e8d85cfd85,11,21,67,6,0,6876,1,28,22,6
m_e,LULESH_OMP.cc,2681,cd9e8d89be24f,11,384,3,17,1,17990,1,6,18,17
m_x,LULESH_OMP.cc,961,cd9e8d969c515,12,44,4,0,0,1123,0,0,0,0
m_nodeElemCornerList,LULESH_OMP.cc,1000,cd9e8d9ef8ce4,12,24,67,30,0,256899,1,16,11,31
m_y,LULESH_OMP.cc,1047,cd9e8da3ee0db,12,102,17,5,1,7166,0,0,0,0
m_x,LULESH_OMP.cc,1762,cd9e8dbbf4426,12,176,17,11,1,12364,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dbcd8fe2,12,37,0,12,0,13153,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd9e8dbe3023f,12,21,3,14,0,16520,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8dbf55d92,12,21,3,2,0,3598,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd9e8dbf89dfa,12,22,65,25,1,27519,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dbfdd0b1,12,21,65,8,0,10153,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd9e8dc05a179,12,22,3,13,1,15677,0,0,0,0
